date,DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
12/30/16,0.033415267,0.047955121,0.028317547,0.034005965,-0.029510065,0.013413647,0.055037723,0.059556049,0.091933285,0.036167112,0.023240003,0.045245141,0.035130135,0.076338012,0.027509155,0.020541573,0.039769665,-0.030532252,0.031198061,0.018841467,0.010578845,0.019646038,0.086247152,0.010863933,0.017638299,0.009053344,0.069739521,-0.023250339,-0.011575904,0.033905996
1/31/17,0.00513547,0.047746463,0.035444886,0.049717575,0.040044612,0.025274208,-0.053950667,0.061696283,-0.042305508,0.026103579,0.051388545,0.015164062,-0.017012346,-0.013810873,0.002653306,0.006983157,-0.021000333,0.052998263,0.040392662,0.040723904,-0.023091263,0.05011566,-0.037902179,0.012872009,0.000456109,0.060112575,-0.07205834,-0.009908212,-0.034433112,-0.070573961
2/28/17,0.047731882,0.133778129,0.048180084,0.112350293,0.010453605,0.112630121,0.019998578,-0.005061028,0.084547274,0.05327851,0.038516198,-0.009820119,0.086257442,0.070778964,0.009381789,0.049111305,0.072895561,0.062590629,-0.004363744,0.080529318,0.08627832,0.039611779,0.037867184,0.0202344,0.032367734,0.065257128,0.012650529,0.058952489,0.062781126,-0.021771053
3/31/17,-0.007160187,0.048689528,-0.01186594,-0.018698078,-0.040347636,-0.011117516,-0.0456001,0.029975563,-0.073933609,0.019415778,-0.031587374,-0.003591168,0.019147367,-0.030677746,0.020366667,0.015354501,0.026723729,-0.028411584,0.02938421,-0.021979536,0.002637706,-0.013396257,-0.008468072,-0.004587377,-0.003020852,0.010575249,-0.017731473,-0.038550461,0.023685345,0.008484834
4/28/17,0.01341945,-6.97E-05,0.005882548,0.045063806,0.111571933,0.016769005,-0.006240168,0.019490183,-0.025770426,0.063134275,-0.079533701,0.002217995,-0.008671173,0.001865242,0.016729569,0.079623464,0.023519591,-0.019043028,0.039477749,-0.005742022,-0.008477002,-0.020608522,0.009291608,0.066276275,0.06042245,0.026443137,-0.047029344,0.042022878,0.043007758,-0.004389729
5/31/17,0.00325401,0.067807328,-0.029148068,0.02292042,0.030999411,-0.074552394,-0.020312486,-0.066262923,-0.052854406,-0.010908902,-0.038486116,0.006324594,0.045602058,-0.055747073,0.053766123,0.078324702,0.050356096,0.044601351,0.026005051,-0.043674414,-0.028124079,0.008702508,0.026220551,0.001715436,0.024816693,0.045812235,0.01590075,-0.059634895,0.05248731,-0.004774254
6/30/17,0.016230479,-0.057213894,0.09487895,0.05393593,0.01925443,-0.007294757,0.00821404,-0.015656844,0.050364639,-0.000716577,0.007861953,-0.065632813,0.031500903,0.112599057,-0.005518254,0.021407414,0.018193276,-0.008428211,-0.013029727,0.117212674,0.028790271,-0.01067066,0.019373835,0.062825277,0.006843725,-0.015226498,-0.042453047,-0.033448669,-0.037150223,0.002857126
7/31/17,0.025362887,0.032703759,0.015571061,0.226093642,0.068048834,0.014179993,0.046583063,0.042332064,0.015457351,-0.024771715,-0.059546257,0.051274496,0.003250428,0.009900901,0.022073734,0.012927591,-0.03371922,-0.003276556,0.054693165,0.000847423,-0.01280153,0.050282141,0.012328962,0.034462315,-0.028990163,0.06163371,0.097944699,0.030136681,0.05695035,-0.008546957
8/31/17,0.002602903,0.10699934,0.010207624,-0.005652904,0.031066239,0.024165366,-0.004475759,-0.079414115,-0.003665147,0.007729061,-0.000890294,-0.003854967,0.003707254,-0.009912816,-0.006326399,0.037250763,0.021500297,-0.00031308,0.033952898,-0.102599929,0.032910995,0.015965573,-0.053946517,0.036963764,0.015831036,0.041449112,-0.008884353,0.01529482,-0.017863883,-0.037108229
9/29/17,0.020821403,-0.060243937,0.05063863,0.060711061,0.061452084,0.044085776,0.091804603,-0.025988151,0.060114378,0.091345738,0.014332738,0.085828458,-0.017828807,0.05083054,-0.003992407,-0.020566544,0.027309965,0.009914159,-0.003744935,-0.018178366,0.052476431,-0.013980582,0.017279355,-0.011597646,-0.030404243,0.016615385,0.031686563,-0.052515231,0.000896649,0.074020672
10/31/17,0.043389712,0.096807705,0.060013018,0.014830406,0.095421203,0.024237191,-0.013702264,-0.007710272,0.022302754,0.013572853,0.061896782,0.194590237,0.072302277,0.059555333,0.021550686,0.065292286,0.09666509,-0.139621861,0.116659967,0.060559343,-0.017927075,-0.043893227,0.081048169,0.073372508,0.031702096,0.045039888,-0.021129768,-0.141802813,0.117353357,0.016711389
11/30/17,0.03828978,0.020278048,0.02292714,0.078719005,0.039396209,0.092239896,0.036361091,0.071669473,0.024489501,0.090185715,0.009405189,-0.008447454,0.005546282,0.038862864,0.003593931,0.036458149,0.061586438,0.003267416,0.016983738,0.098745053,0.043677346,0.042274768,0.023556035,0.08905143,0.020185697,0.025545453,0.063087392,0.10428476,0.113618255,0.008528217
12/29/17,0.018410706,-0.01524586,0.01637487,0.06542653,0.116401147,0.026809575,0.052105258,0.033913986,0.028751468,0.053998421,-0.003572053,0.029438043,0.00279917,0.023153588,0.00240334,0.000872207,-0.031956918,0.026752932,0.016276839,0.038691557,-0.001103049,0.021002372,0.005912594,-0.03379055,0.050391177,0.012700899,0.040086612,-0.001924259,0.020985657,0.004202134
