PERMNO,date,TICKER,PRC
90829,20130131,CF,229.17
90829,20130228,CF,200.83
90829,20130328,CF,190.37
90829,20130430,CF,186.50999
90829,20130531,CF,190.96001
90829,20130628,CF,171.5
90829,20130731,CF,196.00999
90829,20130830,CF,190.34
90829,20130930,CF,210.83
90829,20131031,CF,215.60001
90829,20131129,CF,217.38
90829,20131231,CF,233.03999
90829,20140131,CF,230.86
90829,20140228,CF,250.89999
90829,20140331,CF,260.64001
90829,20140430,CF,245.17
90829,20140530,CF,243.31
90829,20140630,CF,240.53
90829,20140731,CF,250.34
90829,20140829,CF,257.67001
90829,20140930,CF,279.22
90829,20141031,CF,260
90829,20141128,CF,268.14999
90829,20141231,CF,272.54001
90829,20150130,CF,305.38
90829,20150227,CF,306.23001
90829,20150331,CF,283.67999
90829,20150430,CF,287.47
90829,20150529,CF,315.88
90829,20150630,CF,64.28
90829,20150731,CF,59.2
90829,20150831,CF,57.38
90829,20150930,CF,44.9
90829,20151030,CF,50.77
90829,20151130,CF,46.14
90829,20151231,CF,40.81
90829,20160129,CF,30
90829,20160229,CF,36.46
90829,20160331,CF,31.34
90829,20160429,CF,33.07
90829,20160531,CF,27.66
90829,20160630,CF,24.1
90829,20160729,CF,24.68
90829,20160831,CF,26
90829,20160930,CF,24.35
90829,20161031,CF,24.01
90829,20161130,CF,28.94
90829,20161230,CF,31.48
90829,20170131,CF,35.29
90829,20170228,CF,31.42
90829,20170331,CF,29.35
90829,20170428,CF,26.74
90829,20170531,CF,26.9
90829,20170630,CF,27.96
90829,20170731,CF,29.35
90829,20170831,CF,28.99
90829,20170929,CF,35.16
90829,20171031,CF,37.98
90829,20171130,CF,37.47
90829,20171229,CF,42.54
90829,20180131,CF,42.44
90829,20180228,CF,41.24
90829,20180329,CF,37.73
90829,20180430,CF,38.8
90829,20180531,CF,41.14
90829,20180629,CF,44.4
90829,20180731,CF,44.42
90829,20180831,CF,51.95
90829,20180928,CF,54.44
90829,20181031,CF,48.03
90829,20181130,CF,42.19
90829,20181231,CF,43.51
90880,20130131,AMP,66.32
90880,20130228,AMP,68.63
90880,20130328,AMP,73.65
90880,20130430,AMP,74.53
90880,20130531,AMP,81.52
90880,20130628,AMP,80.88
90880,20130731,AMP,89
90880,20130830,AMP,86.15
90880,20130930,AMP,91.08
90880,20131031,AMP,100.54
90880,20131129,AMP,108.25
90880,20131231,AMP,115.05
90880,20140131,AMP,105.64
90880,20140228,AMP,108.99
90880,20140331,AMP,110.07
90880,20140430,AMP,111.63
90880,20140530,AMP,112.61
90880,20140630,AMP,120
90880,20140731,AMP,119.6
90880,20140829,AMP,125.76
90880,20140930,AMP,123.38
90880,20141031,AMP,126.17
90880,20141128,AMP,131.77
90880,20141231,AMP,132.25
90880,20150130,AMP,124.94
90880,20150227,AMP,133.63
90880,20150331,AMP,130.84
90880,20150430,AMP,125.28
90880,20150529,AMP,124.59
90880,20150630,AMP,124.93
90880,20150731,AMP,125.67
90880,20150831,AMP,112.67
90880,20150930,AMP,109.13
90880,20151030,AMP,115.36
90880,20151130,AMP,112.95
90880,20151231,AMP,106.42
90880,20160129,AMP,90.65
90880,20160229,AMP,83.95
90880,20160331,AMP,94.01
90880,20160429,AMP,95.9
90880,20160531,AMP,101.67
90880,20160630,AMP,89.85
90880,20160729,AMP,95.84
90880,20160831,AMP,101.08
90880,20160930,AMP,99.77
90880,20161031,AMP,88.39
90880,20161130,AMP,114.21
90880,20161230,AMP,110.94
90880,20170131,AMP,112.27
90880,20170228,AMP,131.5
90880,20170331,AMP,129.67999
90880,20170428,AMP,127.85
90880,20170531,AMP,120.79
90880,20170630,AMP,127.29
90880,20170731,AMP,144.88
90880,20170831,AMP,138.50999
90880,20170929,AMP,148.50999
90880,20171031,AMP,156.53999
90880,20171130,AMP,163.23
90880,20171229,AMP,169.47
90880,20180131,AMP,168.7
90880,20180228,AMP,156.44
90880,20180329,AMP,147.94
90880,20180430,AMP,140.21001
90880,20180531,AMP,138.63
90880,20180629,AMP,139.88
90880,20180731,AMP,145.67
90880,20180831,AMP,141.96001
90880,20180928,AMP,147.66
90880,20181031,AMP,127.24
90880,20181130,AMP,129.75
90880,20181231,AMP,104.37
90979,20130131,UA,50.87
90979,20130228,UA,49.28
90979,20130328,UA,51.2
90979,20130430,UA,57.08
90979,20130531,UA,62
90979,20130628,UA,59.71
90979,20130731,UA,67.13
90979,20130830,UA,72.64
90979,20130930,UA,79.45
90979,20131031,UA,81.15
90979,20131129,UA,80.7
90979,20131231,UA,87.3
90979,20140131,UA,108.11
90979,20140228,UA,113.15
90979,20140331,UA,114.64
90979,20140430,UA,48.89
90979,20140530,UA,50.79
90979,20140630,UA,59.49
90979,20140731,UA,66.75
90979,20140829,UA,68.36
90979,20140930,UA,69.1
90979,20141031,UA,65.58
90979,20141128,UA,72.49
90979,20141231,UA,67.9
90979,20150130,UA,72.08
90979,20150227,UA,77.01
90979,20150331,UA,80.75
90979,20150430,UA,77.55
90979,20150529,UA,78.41
90979,20150630,UA,83.44
90979,20150731,UA,99.33
90979,20150831,UA,95.53
90979,20150930,UA,96.78
90979,20151030,UA,95.08
90979,20151130,UA,86.22
90979,20151231,UA,80.61
90979,20160129,UA,85.43
90979,20160229,UA,83.69
90979,20160331,UA,84.83
90979,20160429,UA,43.94
90979,20160531,UA,37.73
90979,20160630,UA,40.13
90979,20160729,UA,39.46
90979,20160831,UA,39.63
90979,20160930,UA,38.68
90979,20161031,UA,31.1
90979,20161130,UA,30.8
90979,20161230,UAA,29.05
90979,20170131,UAA,21.49
90979,20170228,UAA,20.62
90979,20170331,UAA,19.78
90979,20170428,UAA,21.49
90979,20170531,UAA,19.16
90979,20170630,UAA,21.76
90979,20170731,UAA,20.02
90979,20170831,UAA,16.15
90979,20170929,UAA,16.48
90979,20171031,UAA,12.52
90979,20171130,UAA,13.29
90979,20171229,UAA,14.43
90979,20180131,UAA,13.86
90979,20180228,UAA,16.58
90979,20180329,UAA,16.35
90979,20180430,UAA,17.76
90979,20180531,UAA,20.9
90979,20180629,UAA,22.48
90979,20180731,UAA,19.97
90979,20180831,UAA,20.45
90979,20180928,UAA,21.22
90979,20181031,UAA,22.11
90979,20181130,UAA,23.88
90979,20181231,UAA,17.67
90993,20130131,ICE,138.75
90993,20130228,ICE,154.82001
90993,20130328,ICE,163.07001
90993,20130430,ICE,162.92999
90993,20130531,ICE,171.21001
90993,20130628,ICE,177.75999
90993,20130731,ICE,182.45
90993,20130830,ICE,179.75
90993,20130930,ICE,181.42
90993,20131031,ICE,192.73
90993,20131129,ICE,213.28999
90993,20131231,ICE,224.92
90993,20140131,ICE,208.78999
90993,20140228,ICE,208.84
90993,20140331,ICE,197.83
90993,20140430,ICE,204.44
90993,20140530,ICE,196.39999
90993,20140630,ICE,188.89999
90993,20140731,ICE,192.22
90993,20140829,ICE,189
90993,20140930,ICE,195.05
90993,20141031,ICE,208.28999
90993,20141128,ICE,225.99001
90993,20141231,ICE,219.28999
90993,20150130,ICE,205.73
90993,20150227,ICE,235.36
90993,20150331,ICE,233.27
90993,20150430,ICE,224.53
90993,20150529,ICE,236.78
90993,20150630,ICE,223.61
90993,20150731,ICE,228.03999
90993,20150831,ICE,228.41
90993,20150930,ICE,234.99001
90993,20151030,ICE,252.39999
90993,20151130,ICE,259.84
90993,20151231,ICE,256.26001
90993,20160129,ICE,263.79999
90993,20160229,ICE,238.46001
90993,20160331,ICE,235.14
90993,20160429,ICE,240.03
90993,20160531,ICE,271.12
90993,20160630,ICE,255.96001
90993,20160729,ICE,264.20001
90993,20160831,ICE,282.01999
90993,20160930,ICE,269.35999
90993,20161031,ICE,270.39001
90993,20161130,ICE,55.4
90993,20161230,ICE,56.42
90993,20170131,ICE,58.36
90993,20170228,ICE,57.13
